"party","levels_of_party","race","gender","education","state_of_residence","president_voted_for","immigration_importance","environment_importance","gay_rights_importance","health_care_importance","climate_change_importance","abortion_importance","racial_equality_importance","gender_equality_importance","legality_abortion","gay_marriage","police_racial_bias","global_warming","religion_importance","age_group","ideology"
3,3,1,1,4,9,1,3,2,3,2,2,3,2,2,2,1,2,1,2,"4","3"
2,7,1,1,6,34,2,1,3,4,3,4,3,4,4,2,2,1,4,2,"4","2"
3,5,6,1,3,27,2,1,3,4,1,4,1,4,4,2,8,1,4,1,"3","2"
2,6,1,2,6,39,2,1,2,2,2,3,3,3,4,3,1,1,3,1,"3","2"
1,1,1,2,3,17,1,2,1,1,1,1,2,1,1,1,1,2,1,4,"4","1"
2,6,1,1,5,29,2,2,3,2,2,3,2,2,3,2,1,1,3,1,"4","2"
1,1,1,1,6,36,1,2,2,1,1,1,3,1,2,1,1,2,1,4,"3","1"
2,6,1,1,6,25,2,1,2,4,2,4,4,4,4,2,8,1,1,3,"4","2"
3,3,1,1,5,47,1,2,1,2,1,1,2,2,2,1,1,2,1,4,"3","3"
1,1,1,1,5,17,1,2,1,1,1,1,2,1,1,1,1,1,1,4,"4","1"
3,3,1,1,5,55,1,3,1,1,1,2,2,3,2,1,1,2,1,4,"1","3"
3,5,1,1,6,48,2,2,1,3,2,4,1,1,3,2,2,1,2,2,"5","2"
1,1,1,1,5,48,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
2,6,1,1,6,36,2,1,3,3,1,4,3,2,4,2,1,1,4,1,"4","3"
1,2,1,1,2,12,1,2,2,4,2,2,2,2,2,2,2,1,1,1,"5","3"
2,7,1,1,2,55,2,2,4,4,2,4,3,4,4,2,2,1,4,3,"4","2"
3,4,1,2,4,41,3,2,2,3,2,2,2,2,2,1,1,1,2,4,"4","3"
3,4,1,2,5,42,1,1,1,1,1,1,1,1,1,3,2,2,1,1,"4","3"
3,5,1,2,6,53,2,2,3,3,1,4,1,1,4,2,2,1,3,1,"5","2"
3,3,1,2,3,4,1,2,1,1,1,1,1,2,2,2,1,2,1,1,"5","3"
3,3,1,1,6,20,1,2,1,1,1,1,1,1,1,1,1,8,1,3,"2","1"
2,7,1,1,5,26,2,2,3,2,4,NA,2,2,3,2,1,1,1,1,"2","2"
1,1,1,1,2,39,1,2,1,2,1,1,2,2,1,2,1,2,1,3,"5","3"
1,2,1,2,4,12,2,1,1,2,1,2,1,2,2,3,8,1,3,1,"4","2"
3,4,3,2,3,17,1,3,1,2,1,2,3,1,3,2,8,2,1,2,"4","3"
4,5,1,1,3,40,3,2,3,4,2,4,2,4,4,3,2,1,3,1,"4","2"
