"party","party.agendas","levels.of.party","race","education","fam.income","state.of.residence","vote.method","president.voted.for","reason.of.voting","immigration.importance","environment.importance","gay.rights.importance","health.care.importance","climate.change.importance","abortion.importance","racial.equality.importance","gender.equality.importance","legality.abortion","gay.marriage","police.racial.bias","global.warming","tax.raise","employment.status","political.viewpoint","religion.importance"
2,1,7,1,3,6,12,2,2,1,1,2,4,2,4,2,2,3,2,8,1,2,2,5,5,1
2,1,7,1,5,5,12,1,2,1,2,4,4,3,4,1,4,4,3,2,1,4,2,1,5,1
2,2,6,1,2,4,12,1,2,2,3,3,3,2,3,3,4,3,2,8,1,3,2,1,4,4
2,2,6,1,3,7,12,1,2,1,1,3,3,2,4,1,3,4,2,2,1,4,2,1,5,1
2,2,6,1,5,97,38,2,2,1,2,4,1,1,4,4,2,2,8,1,1,4,1,1,4,4
2,2,6,1,5,10,27,1,2,1,1,2,3,1,3,1,2,2,2,2,1,2,3,1,4,2
1,1,2,1,3,10,55,2,1,1,3,1,3,1,1,4,3,2,1,1,2,1,1,1,2,3
2,2,6,1,6,97,25,2,2,2,1,4,4,1,4,4,3,4,2,2,8,3,3,1,4,3
1,1,2,1,5,9,53,2,1,1,2,2,1,1,2,1,2,2,2,1,1,1,2,5,3,4
2,2,7,1,2,10,34,1,2,2,2,NA,4,1,NA,2,3,4,2,2,1,3,1,5,4,2
3,1,3,2,3,3,24,2,1,1,1,2,3,1,2,4,1,1,1,8,2,1,1,5,3,4
2,1,7,1,5,12,12,2,2,1,2,3,3,3,4,4,4,NA,2,1,1,3,2,1,4,3
3,1,4,1,3,5,28,1,1,2,3,1,3,1,1,3,2,2,1,1,8,1,1,5,3,4
2,2,7,1,5,13,21,1,2,1,2,4,4,3,4,4,4,4,2,2,1,3,2,1,5,1
3,2,3,1,4,97,26,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,4,3,1
3,1,4,1,6,11,45,1,2,1,1,4,4,2,4,2,4,4,2,1,1,4,2,5,4,2
3,1,4,1,3,5,6,3,2,1,1,4,4,2,4,1,4,4,2,8,1,4,2,2,4,1
3,2,4,1,2,5,25,1,2,1,1,3,4,1,4,4,4,4,1,1,1,2,2,1,3,3
2,1,7,1,4,11,4,3,2,1,3,2,3,1,3,1,3,3,2,2,1,2,2,1,4,1
